activation,dominance,valence,gender,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
2.5,2.5,2.5,F,5.417,5,5.333,2.833,5.083
2,2.5,2.5,M,4.167,1.083,2.917,6.667,2.667
2.5,2.5,2.5,F,5.417,5,5.333,2.833,5.083
2,2.5,2.5,M,4.167,1.083,2.917,6.667,2.667
2.5,2.5,2.5,F,5.417,5,5.333,2.833,5.083
3.5,3.5,2,M,4.167,1.083,2.917,6.667,2.667
3,3,2.5,F,5.417,5,5.333,2.833,5.083
3,2.5,2.5,F,5.417,5,5.333,2.833,5.083
3.5,3.5,2.5,M,4.167,1.083,2.917,6.667,2.667
3.5,2,2.5,F,5.417,5,5.333,2.833,5.083
4,3.5,2,M,4.167,1.083,2.917,6.667,2.667
3.5,3.5,2,M,4.167,1.083,2.917,6.667,2.667
3.5,3.5,2,F,5.417,5,5.333,2.833,5.083
3.5,3.5,2,M,4.167,1.083,2.917,6.667,2.667
3.5,3.5,2.5,F,5.417,5,5.333,2.833,5.083
3.5,3,2.5,M,4.167,1.083,2.917,6.667,2.667
3.5,3.5,2,F,5.417,5,5.333,2.833,5.083
3.5,3.5,2,M,4.167,1.083,2.917,6.667,2.667
3.5,3,2,F,5.417,5,5.333,2.833,5.083
3.5,4,2.5,M,4.167,1.083,2.917,6.667,2.667
3.5,3.5,1.5,F,5.417,5,5.333,2.833,5.083
3.5,3.5,2,F,5.417,5,5.333,2.833,5.083
4.5,4,2,M,4.167,1.083,2.917,6.667,2.667
3.5,3.5,2,F,5.417,5,5.333,2.833,5.083
4,4,2,M,4.167,1.083,2.917,6.667,2.667
4,3.5,2,F,5.417,5,5.333,2.833,5.083
1.5,2,3,M,4.167,1.083,2.917,6.667,2.667
3.5,3.5,2.5,F,5.417,5,5.333,2.833,5.083
4.5,4.5,2,M,4.167,1.083,2.917,6.667,2.667
3.5,3,2,F,5.417,5,5.333,2.833,5.083
2,1.5,2.5,F,5.333,4,5.583,3.167,5.333
2.5,2.5,2,M,3.667,4,5.167,5.417,3.25
1.5,1.5,2,F,5.333,4,5.583,3.167,5.333
2.5,2.5,2,M,3.667,4,5.167,5.417,3.25
1.5,1.5,2,F,5.333,4,5.583,3.167,5.333
2,2,2,F,5.333,4,5.583,3.167,5.333
3,2.5,2.5,M,3.667,4,5.167,5.417,3.25
2,2.5,2.5,F,5.333,4,5.583,3.167,5.333
3,3,2,M,3.667,4,5.167,5.417,3.25
2,2.5,2,F,5.333,4,5.583,3.167,5.333
3,2,2,M,3.667,4,5.167,5.417,3.25
2.5,2.5,2.5,F,5.333,4,5.583,3.167,5.333
3,1.5,2,M,3.667,4,5.167,5.417,3.25
3.5,3,2,F,5.333,4,5.583,3.167,5.333
3,1.5,2,M,3.667,4,5.167,5.417,3.25
2,1.5,1.5,F,5.333,4,5.583,3.167,5.333
1.5,2,1.5,F,5.333,4,5.583,3.167,5.333
1.5,2,2,F,5.333,4,5.583,3.167,5.333
3,2.5,2,M,3.667,4,5.167,5.417,3.25
2.5,2.5,2.5,F,5.333,4,5.583,3.167,5.333
1.5,2,2.5,M,3.667,4,5.167,5.417,3.25
1.5,2.5,2,M,3.667,4,5.167,5.417,3.25
2,1.5,3.5,F,5.333,4,5.583,3.167,5.333
2,1.5,2,M,3.667,4,5.167,5.417,3.25
2,2,1.5,F,5.333,4,5.583,3.167,5.333
1.5,2.5,2.5,M,3.667,4,5.167,5.417,3.25
2,2,1.5,F,5.333,4,5.583,3.167,5.333
2,2,2.5,M,3.667,4,5.167,5.417,3.25
2.5,2.5,2,F,5.333,4,5.583,3.167,5.333
2,2,1.5,M,3.667,4,5.167,5.417,3.25
1,2.5,2,F,5.333,4,5.583,3.167,5.333
3,1.5,1.5,M,3.667,4,5.167,5.417,3.25
3,2.5,3.5,F,5.333,4,5.583,3.167,5.333
3,1.5,3,M,3.667,4,5.167,5.417,3.25
2.5,2.5,2.5,F,5.333,4,5.583,3.167,5.333
1.5,2,2.5,F,5.333,4,5.583,3.167,5.333
2,2.5,4,F,5.333,4,5.583,3.167,5.333
1.5,2.5,2,M,3.667,4,5.167,5.417,3.25
3,2.6667,4,M,5.583,5.583,4.417,2.833,4.833
2.6667,2.6667,4.3333,F,6.083,5.583,2.833,3.75,5.667
2.6667,2.3333,4.3333,M,5.583,5.583,4.417,2.833,4.833
