dialogue_id,gender,tipi,rater1,rater2,rater3,rater4,rater5,rater6,r1,r2,r3,r4,r5,r6,filtered_rater1,filtered_rater2,filtered_rater3,filtered_rater4,filtered_rater5,filtered_r1,filtered_r2,filtered_r3,filtered_r4,filtered_r5
Ses01F_impro01,f,o,4,6.5,5,6.5,4.5,4,2,1,1,1,1,2,4,5,6.5,4.5,4,2,1,1,1,2
Ses01F_impro01,f,c,3,6.5,6,5.5,6,5,2,1,1,1,1,1,6.5,6,5.5,6,5,1,1,1,1,1
Ses01F_impro01,f,e,5,6,5.5,6,4.5,5.5,1,1,1,1,2,1,5,6,5.5,6,5.5,1,1,1,1,1
Ses01F_impro01,f,a,3,6.5,6,4.5,4.5,5.5,2,1,1,1,1,1,6.5,6,4.5,4.5,5.5,1,1,1,1,1
Ses01F_impro01,f,n,4.5,1.5,2,3.5,3,2.5,1,2,2,2,2,2,1.5,2,3.5,3,2.5,2,2,2,2,2
Ses01F_impro01,m,o,1.5,4,1,4.5,2,3,2,2,2,1,2,2,1.5,4,1,2,3,2,2,2,2,2
Ses01F_impro01,m,c,3.5,2.5,1.5,3.5,3,3.5,2,2,2,2,2,2,3.5,2.5,3.5,3,3.5,2,2,2,2,2
Ses01F_impro01,m,e,4,4.5,3.5,4.5,4,4.5,2,2,2,2,2,2,4,4.5,4.5,4,4.5,2,2,2,2,2
Ses01F_impro01,m,a,1,1,1,1,1.5,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2
Ses01F_impro01,m,n,6,6.5,7,7,7,6.5,1,1,1,1,1,1,6.5,7,7,7,6.5,1,1,1,1,1
Ses01F_impro02,f,o,4.5,5.5,6.5,5,6,4.5,1,1,1,1,1,1,4.5,5.5,5,6,4.5,1,1,1,1,1
Ses01F_impro02,f,c,4.5,5.5,6.5,5,7,5,1,1,1,1,1,1,4.5,5.5,6.5,5,5,1,1,1,1,1
Ses01F_impro02,f,e,5.5,5.5,5.5,6,4,5.5,1,1,1,1,2,1,5.5,5.5,5.5,6,5.5,1,1,1,1,1
Ses01F_impro02,f,a,3.5,2.5,7,3,3.5,4.5,2,2,1,2,2,1,3.5,2.5,3,3.5,4.5,2,2,2,2,1
Ses01F_impro02,f,n,5,4,1,2.5,2,4.5,1,2,2,2,2,1,5,4,2.5,2,4.5,1,2,2,2,1
Ses01F_impro02,m,o,5,1,4.5,3,3.5,2.5,1,2,1,2,2,2,5,4.5,3,3.5,2.5,1,1,2,2,2
Ses01F_impro02,m,c,6,5.5,6,5,5,3.5,1,1,1,1,1,2,6,5.5,6,5,5,1,1,1,1,1
Ses01F_impro02,m,e,5.5,4,4,2,4,2.5,1,2,2,2,2,2,4,4,2,4,2.5,2,2,2,2,2
Ses01F_impro02,m,a,3.5,2.5,7,6,2.5,2.5,2,2,1,1,2,2,3.5,2.5,6,2.5,2.5,2,2,1,2,2
Ses01F_impro02,m,n,5,7,2,6,7,5.5,1,1,2,1,1,1,5,7,6,7,5.5,1,1,1,1,1
Ses01F_impro03,f,o,5.5,6.5,4.5,7,7,3.5,1,1,1,1,1,2,5.5,6.5,4.5,7,7,1,1,1,1,1
Ses01F_impro03,f,c,3,2.5,3.5,3,2,3,2,2,2,2,2,2,3,2.5,3.5,3,3,2,2,2,2,2
Ses01F_impro03,f,e,5,7,5,6.5,6,7,1,1,1,1,1,1,7,5,6.5,6,7,1,1,1,1,1
Ses01F_impro03,f,a,4.5,5,6,6,6,6,1,1,1,1,1,1,5,6,6,6,6,1,1,1,1,1
Ses01F_impro03,f,n,4.5,5,3.5,3.5,3.5,2.5,1,1,2,2,2,2,4.5,3.5,3.5,3.5,2.5,1,2,2,2,2
Ses01F_impro03,m,o,3.5,5.5,6,5,5,4,2,1,1,1,1,2,5.5,6,5,5,4,1,1,1,1,2
Ses01F_impro03,m,c,4,3,4,5.5,5,5,2,2,2,1,1,1,4,4,5.5,5,5,2,2,1,1,1
Ses01F_impro03,m,e,5,5.5,5.5,6,5,6.5,1,1,1,1,1,1,5,5.5,5.5,6,5,1,1,1,1,1
Ses01F_impro03,m,a,4.5,5,5.5,6,6,6.5,1,1,1,1,1,1,5,5.5,6,6,6.5,1,1,1,1,1
Ses01F_impro03,m,n,4,2.5,3,2,3,2.5,2,2,2,2,2,2,2.5,3,2,3,2.5,2,2,2,2,2
Ses01F_impro04,f,o,3.5,2,3,2.5,5,1.5,2,2,2,2,1,2,3.5,2,3,2.5,1.5,2,2,2,2,2
Ses01F_impro04,f,c,2,2,2,3,1,5,2,2,2,2,2,1,2,2,2,3,1,2,2,2,2,2
Ses01F_impro04,f,e,6,2.5,2,6.5,6,3.5,1,2,2,1,1,2,6,2.5,6.5,6,3.5,1,2,1,1,2
Ses01F_impro04,f,a,1.5,2,1.5,2,1.5,2.5,2,2,2,2,2,2,1.5,2,1.5,2,1.5,2,2,2,2,2
