dialogue_id,gender,tipi,rater1,rater2,rater3,rater4,rater5,rater6
Ses01F_impro01,m,1,2,2,1,2,2,2
Ses01F_impro01,m,2,7,7,7,7,6,7
Ses01F_impro01,m,3,2,2,1,2,3,2
Ses01F_impro01,m,4,6,6,5,6,7,6
Ses01F_impro01,m,5,1,2,1,6,2,4
Ses01F_impro01,m,6,2,1,2,1,2,1
Ses01F_impro01,m,7,1,1,1,1,1,1
Ses01F_impro01,m,8,3,5,6,3,5,3
Ses01F_impro01,m,9,2,1,1,1,1,1
Ses01F_impro01,m,10,6,2,7,5,6,6
Ses01F_impro01,f,1,5,6,5,6,3,4
Ses01F_impro01,f,2,5,1,1,4,4,2
Ses01F_impro01,f,3,3,6,6,5,6,4
Ses01F_impro01,f,4,4,1,2,4,3,1
Ses01F_impro01,f,5,5,6,5,6,4,4
Ses01F_impro01,f,6,3,2,2,2,2,1
Ses01F_impro01,f,7,3,6,5,5,5,5
Ses01F_impro01,f,8,5,1,2,2,2,2
Ses01F_impro01,f,9,3,6,6,5,5,4
Ses01F_impro01,f,10,5,1,3,1,3,4
Ses01F_impro02,m,1,4,1,2,2,1,2
Ses01F_impro02,m,2,5,7,1,2,7,6
Ses01F_impro02,m,3,6,4,6,5,3,4
Ses01F_impro02,m,4,4,7,2,6,7,6
Ses01F_impro02,m,5,4,1,3,3,2,2
Ses01F_impro02,m,6,1,1,2,6,1,5
Ses01F_impro02,m,7,4,4,7,6,4,3
Ses01F_impro02,m,8,2,1,2,3,1,5
Ses01F_impro02,m,9,2,1,6,2,1,3
Ses01F_impro02,m,10,2,7,2,5,3,5
Ses01F_impro02,f,1,5,4,5,6,2,5
Ses01F_impro02,f,2,5,7,1,5,5,4
Ses01F_impro02,f,3,4,4,7,5,7,5
Ses01F_impro02,f,4,5,4,1,3,2,5
Ses01F_impro02,f,5,4,7,6,5,5,5
Ses01F_impro02,f,6,2,1,2,2,2,2
Ses01F_impro02,f,7,4,4,7,3,4,5
Ses01F_impro02,f,8,3,1,2,3,1,3
Ses01F_impro02,f,9,3,4,7,6,6,4
Ses01F_impro02,f,10,3,4,1,3,1,4
Ses01F_impro03,m,1,5,6,5,6,5,6
Ses01F_impro03,m,2,4,3,2,1,2,1
Ses01F_impro03,m,3,4,3,4,6,5,5
Ses01F_impro03,m,4,4,2,2,2,3,2
Ses01F_impro03,m,5,4,5,6,5,5,5
Ses01F_impro03,m,6,3,3,2,2,3,1
Ses01F_impro03,m,7,5,5,5,5,6,6
Ses01F_impro03,m,8,4,5,4,3,3,3
Ses01F_impro03,m,9,4,5,4,6,5,5
Ses01F_impro03,m,10,5,2,2,3,3,5
Ses01F_impro03,f,1,5,7,5,7,6,7
Ses01F_impro03,f,2,3,3,2,2,2,2
Ses01F_impro03,f,3,3,3,4,3,2,3
Ses01F_impro03,f,4,4,5,3,3,3,2
Ses01F_impro03,f,5,5,7,5,7,7,2
Ses01F_impro03,f,6,3,1,3,2,2,1
Ses01F_impro03,f,7,4,5,6,6,6,6
Ses01F_impro03,f,8,5,6,5,5,6,5
Ses01F_impro03,f,9,3,3,4,4,4,5
Ses01F_impro03,f,10,2,2,4,1,1,3
Ses01F_impro04,m,1,5,5,6,5,6,5
Ses01F_impro04,m,2,1,3,2,3,3,5
Ses01F_impro04,m,3,6,6,6,6,7,6
Ses01F_impro04,m,4,1,3,1,2,1,2
Ses01F_impro04,m,5,4,4,7,6,5,6
Ses01F_impro04,m,6,3,6,2,5,3,4
Ses01F_impro04,m,7,6,5,6,5,5,2
Ses01F_impro04,m,8,1,3,1,2,1,2
Ses01F_impro04,m,9,6,6,7,7,7,6
Ses01F_impro04,m,10,5,3,1,2,5,2
Ses01F_impro04,f,1,5,2,2,6,5,1
Ses01F_impro04,f,2,7,6,6,7,7,7
Ses01F_impro04,f,3,2,2,2,3,1,4
Ses01F_impro04,f,4,6,6,6,7,7,7
Ses01F_impro04,f,5,2,2,3,2,5,1
Ses01F_impro04,f,6,1,5,6,1,1,2
Ses01F_impro04,f,7,2,2,1,3,2,4
Ses01F_impro04,f,8,6,6,6,5,7,2
Ses01F_impro04,f,9,2,2,2,2,1,2
Ses01F_impro04,f,10,3,6,5,5,3,6
Ses01F_impro05,m,1,6,1,3,4,6,2
Ses01F_impro05,m,2,2,2,2,1,1,1
Ses01F_impro05,m,3,6,5,7,6,7,6
Ses01F_impro05,m,4,2,3,1,2,1,1
Ses01F_impro05,m,5,4,4,4,6,6,3
Ses01F_impro05,m,6,2,5,6,4,2,3
Ses01F_impro05,m,7,4,5,6,6,7,4
Ses01F_impro05,m,8,2,2,2,2,2,3
Ses01F_impro05,m,9,6,7,6,6,7,7
Ses01F_impro05,m,10,4,6,3,2,2,5
Ses01F_impro05,f,1,6,5,7,7,6,6
Ses01F_impro05,f,2,6,7,6,7,6,7
Ses01F_impro05,f,3,2,3,2,2,6,3
Ses01F_impro05,f,4,4,7,6,7,5,7
Ses01F_impro05,f,5,2,5,5,2,6,6
Ses01F_impro05,f,6,2,2,1,1,2,1
Ses01F_impro05,f,7,2,3,3,1,2,1
Ses01F_impro05,f,8,4,5,4,2,2,5
Ses01F_impro05,f,9,2,2,2,1,2,1
Ses01F_impro05,f,10,6,3,3,4,2,3
Ses01F_impro06,m,1,6,2,2,3,4,2
Ses01F_impro06,m,2,2,2,4,2,2,2
Ses01F_impro06,m,3,6,5,5,6,6,6
Ses01F_impro06,m,4,2,2,3,2,2,2
Ses01F_impro06,m,5,6,6,4,4,6,3
Ses01F_impro06,m,6,2,6,6,6,2,2
Ses01F_impro06,m,7,6,5,7,5,6,5
Ses01F_impro06,m,8,2,2,4,3,2,2
Ses01F_impro06,m,9,6,6,7,6,6,5
Ses01F_impro06,m,10,2,5,5,5,4,5
Ses01F_impro06,f,1,6,5,2,6,6,3
Ses01F_impro06,f,2,2,2,3,2,2,2
Ses01F_impro06,f,3,6,5,5,3,6,6
Ses01F_impro06,f,4,2,2,2,2,2,2
Ses01F_impro06,f,5,6,6,4,6,7,3
Ses01F_impro06,f,6,2,3,5,2,2,6
Ses01F_impro06,f,7,7,6,6,5,5,6
Ses01F_impro06,f,8,2,2,4,4,6,2
Ses01F_impro06,f,9,6,6,5,4,6,6
Ses01F_impro06,f,10,2,2,3,3,1,3
Ses01F_impro07,m,1,7,5,7,5,6,7
Ses01F_impro07,m,2,1,2,2,2,2,1
Ses01F_impro07,m,3,6,5,6,6,4,6
Ses01F_impro07,m,4,2,3,2,2,2,6
Ses01F_impro07,m,5,7,5,4,6,6,6
Ses01F_impro07,m,6,1,2,2,3,2,2
Ses01F_impro07,m,7,7,5,5,6,7,6
Ses01F_impro07,m,8,2,2,2,2,2,2
Ses01F_impro07,m,9,4,5,6,4,4,4
Ses01F_impro07,m,10,2,3,3,5,2,2
Ses01F_impro07,f,1,7,6,7,7,7,7
Ses01F_impro07,f,2,1,3,2,4,2,2
Ses01F_impro07,f,3,5,6,6,2,4,6
Ses01F_impro07,f,4,4,5,2,6,4,2
Ses01F_impro07,f,5,7,5,7,6,6,7
Ses01F_impro07,f,6,2,2,2,1,1,1
Ses01F_impro07,f,7,7,5,5,5,6,7
Ses01F_impro07,f,8,2,2,2,5,2,2
Ses01F_impro07,f,9,3,3,7,2,2,6
Ses01F_impro07,f,10,3,2,2,2,2,2
Ses01F_script01_1,m,1,4,2,6,6,5,5
Ses01F_script01_1,m,2,4,4,2,4,3,3
Ses01F_script01_1,m,3,5,6,7,6,5,5
Ses01F_script01_1,m,4,4,3,2,4,4,2
Ses01F_script01_1,m,5,4,3,6,6,6,4
Ses01F_script01_1,m,6,2,5,2,2,3,2
Ses01F_script01_1,m,7,5,5,6,6,5,6
Ses01F_script01_1,m,8,5,2,2,6,4,3
Ses01F_script01_1,m,9,6,5,7,6,5,6
Ses01F_script01_1,m,10,4,5,2,2,3,4
Ses01F_script01_1,f,1,5,3,5,6,6,5
Ses01F_script01_1,f,2,7,5,6,6,5,6
Ses01F_script01_1,f,3,4,6,6,4,6,3
Ses01F_script01_1,f,4,7,5,6,6,5,6
Ses01F_script01_1,f,5,3,5,2,6,3,3
Ses01F_script01_1,f,6,2,5,1,2,3,2
Ses01F_script01_1,f,7,4,4,3,4,4,2
Ses01F_script01_1,f,8,4,2,2,2,2,5
Ses01F_script01_1,f,9,2,3,4,2,3,2
Ses01F_script01_1,f,10,4,3,6,2,3,5
Ses01F_script01_2,m,1,2,3,6,5,3,3
Ses01F_script01_2,m,2,2,3,2,3,2,3
Ses01F_script01_2,m,3,5,6,6,6,7,5
Ses01F_script01_2,m,4,2,2,2,3,1,3
Ses01F_script01_2,m,5,6,5,6,4,6,3
